Date,S&P 500,Systematic Value Index
2007-03-30,1000,1000
2007-04-02,1001,1002
2007-04-03,1012,1011
2007-04-04,1013,1012
2007-04-05,1016,1013
2007-04-09,1017,1017
2007-04-10,1018,1024
2007-04-11,1014,1017
2007-04-12,1019,1028
2007-04-13,1023,1028
2007-04-16,1033,1044
2007-04-17,1036,1041
2007-04-18,1037,1043
2007-04-19,1037,1040
2007-04-20,1047,1054
2007-04-23,1043,1058
2007-04-24,1043,1051
2007-04-25,1053,1071
2007-04-26,1054,1069
2007-04-27,1053,1065
2007-04-30,1044,1049
2007-05-01,1047,1052
2007-05-02,1053,1059
2007-05-03,1059,1067
2007-05-04,1063,1078
2007-05-07,1063,1076
2007-05-08,1062,1072
2007-05-09,1065,1077
2007-05-10,1053,1061
2007-05-11,1062,1078
2007-05-14,1060,1077
2007-05-15,1060,1071
2007-05-16,1068,1081
2007-05-17,1065,1089
2007-05-18,1075,1104
2007-05-21,1074,1109
2007-05-22,1073,1111
2007-05-23,1074,1110
2007-05-24,1064,1094
2007-05-25,1068,1102
2007-05-29,1072,1105
2007-05-30,1081,1124
2007-05-31,1080,1121
2007-06-01,1085,1129
2007-06-04,1085,1136
2007-06-05,1081,1134
2007-06-06,1069,1125
2007-06-07,1050,1099
2007-06-08,1064,1117
2007-06-11,1065,1121
2007-06-12,1054,1115
2007-06-13,1070,1134
2007-06-14,1076,1130
2007-06-15,1083,1138
2007-06-18,1081,1141
2007-06-19,1084,1143
2007-06-20,1069,1121
2007-06-21,1075,1131
2007-06-22,1065,1116
2007-06-25,1060,1098
2007-06-26,1049,1077
2007-06-27,1064,1092
2007-06-28,1064,1089
2007-06-29,1064,1091
2007-07-02,1074,1105
2007-07-03,1077,1119
2007-07-05,1076,1114
2007-07-06,1082,1123
2007-07-09,1083,1132
2007-07-10,1067,1118
2007-07-11,1075,1121
2007-07-12,1092,1142
2007-07-13,1095,1152
2007-07-16,1095,1137
2007-07-17,1094,1131
2007-07-18,1093,1134
2007-07-19,1097,1128
2007-07-20,1086,1106
2007-07-23,1089,1101
2007-07-24,1070,1066
2007-07-25,1072,1078
2007-07-26,1047,1042
2007-07-27,1026,1025
2007-07-30,1042,1041
2007-07-31,1031,1020
2007-08-01,1036,1019
2007-08-02,1044,1017
2007-08-03,1017,980
2007-08-06,1034,999
2007-08-07,1045,1013
2007-08-08,1060,1026
2007-08-09,1028,989
2007-08-10,1023,992
2007-08-13,1027,987
2007-08-14,1011,962
2007-08-15,998,936
2007-08-16,1005,940
2007-08-17,1023,966
2007-08-20,1023,963
2007-08-21,1025,963
2007-08-22,1037,973
2007-08-23,1036,977
2007-08-24,1049,991
2007-08-27,1039,983
2007-08-28,1016,954
2007-08-29,1036,976
2007-08-30,1034,971
2007-08-31,1044,989
2007-09-04,1054,1011
2007-09-05,1045,1002
2007-09-06,1048,1010
2007-09-07,1033,1000
2007-09-10,1031,1002
2007-09-11,1043,1010
2007-09-12,1046,1013
2007-09-13,1053,1028
2007-09-14,1053,1034
2007-09-17,1047,1027
2007-09-18,1078,1070
2007-09-19,1085,1084
2007-09-20,1077,1079
2007-09-21,1080,1095
2007-09-24,1078,1091
2007-09-25,1076,1082
2007-09-26,1081,1091
2007-09-27,1088,1101
2007-09-28,1084,1099
2007-10-01,1096,1117
2007-10-02,1095,1120
2007-10-03,1093,1112
2007-10-04,1094,1112
2007-10-05,1107,1121
2007-10-08,1102,1117
2007-10-09,1112,1151
2007-10-10,1110,1151
2007-10-11,1105,1135
2007-10-12,1111,1147
2007-10-15,1102,1142
2007-10-16,1093,1136
2007-10-17,1096,1136
2007-10-18,1092,1140
2007-10-19,1064,1097
2007-10-22,1070,1099
2007-10-23,1078,1103
2007-10-24,1076,1105
2007-10-25,1079,1117
2007-10-26,1092,1149
2007-10-29,1095,1166
2007-10-30,1088,1143
2007-10-31,1099,1174
2007-11-01,1073,1141
2007-11-02,1074,1131
2007-11-05,1066,1106
2007-11-06,1081,1130
2007-11-07,1051,1095
2007-11-08,1046,1091
2007-11-09,1031,1082
2007-11-12,1021,1052
2007-11-13,1052,1099
2007-11-14,1049,1099
2007-11-15,1034,1075
2007-11-16,1036,1080
2007-11-19,1022,1061
2007-11-20,1028,1066
2007-11-21,1007,1040
2007-11-23,1024,1068
2007-11-26,1002,1034
2007-11-27,1013,1038
2007-11-28,1046,1075
2007-11-29,1046,1074
2007-11-30,1056,1083
2007-12-03,1049,1084
2007-12-04,1040,1059
2007-12-05,1057,1076
2007-12-06,1073,1104
2007-12-07,1072,1096
2007-12-10,1081,1112
2007-12-11,1051,1072
2007-12-12,1061,1092
2007-12-13,1059,1089
2007-12-14,1046,1085
2007-12-17,1031,1069
2007-12-18,1037,1066
2007-12-19,1037,1075
2007-12-20,1043,1080
2007-12-21,1058,1110
2007-12-24,1066,1123
2007-12-26,1068,1133
2007-12-27,1055,1119
2007-12-28,1052,1122
2007-12-31,1045,1121
2008-01-02,1035,1108
2008-01-03,1035,1103
2008-01-04,1010,1070
2008-01-07,1009,1053
2008-01-08,992,1030
2008-01-09,1003,1045
2008-01-10,1009,1054
2008-01-11,1001,1048
2008-01-14,1009,1066
2008-01-15,987,1025
2008-01-16,979,1014
2008-01-17,953,977
2008-01-18,943,974
2008-01-22,934,968
2008-01-23,956,985
2008-01-24,964,1006
2008-01-25,950,989
2008-01-28,966,1012
2008-01-29,971,1021
2008-01-30,964,1027
2008-01-31,981,1034
2008-02-01,997,1059
2008-02-04,985,1042
2008-02-05,958,997
2008-02-06,950,982
2008-02-07,957,998
2008-02-08,951,1004
2008-02-11,955,1016
2008-02-12,964,1003
2008-02-13,974,1017
2008-02-14,966,1009
2008-02-15,965,1010
2008-02-19,968,1018
2008-02-20,971,1036
2008-02-21,963,1016
2008-02-22,969,1027
2008-02-25,981,1044
2008-02-26,988,1048
2008-02-27,987,1057
2008-02-28,978,1058
2008-02-29,956,1023
2008-03-03,954,1020
2008-03-04,950,1006
2008-03-05,956,1019
2008-03-06,936,991
