Date,USD
2015/1/1,10000000
2015/1/2,10000000
2015/1/3,10000000
2015/1/4,10000000
2015/1/5,10000000
2015/1/6,10000000
2015/1/7,10123822.34
2015/1/8,10022112.62
2015/1/9,10057278.91
2015/1/10,9972803.834
2015/1/11,9968508.066
2015/1/12,9965689.205
2015/1/13,10003534.64
2015/1/14,10347745.98
2015/1/15,10123521.5
2015/1/16,10141309.49
2015/1/17,10152027.76
2015/1/18,10136183.39
2015/1/19,10133658.19
2015/1/20,10128556.92
2015/1/21,10121948.82
2015/1/22,10121636.53
2015/1/23,10122040.04
2015/1/24,10120517.35
2015/1/25,10119495.01
2015/1/26,10122399.52
2015/1/27,10116773.03
2015/1/28,10106970.45
2015/1/29,10107158.47
2015/1/30,10107203.14
2015/1/31,10103481.63
2015/2/1,10065380.53
2015/2/2,10074368.25
2015/2/3,10149766.57
2015/2/4,10071658.11
2015/2/5,9612309.894
2015/2/6,9581634.696
2015/2/7,9584337.379
2015/2/8,9577625.506
2015/2/9,9568227.305
2015/2/10,9573199.65
2015/2/11,9573287.127
2015/2/12,9573144.47
2015/2/13,9572121.04
2015/2/14,9584487.523
2015/2/15,9552586.691
2015/2/16,9552182.194
2015/2/17,9554056.649
2015/2/18,9551675.518
2015/2/19,9550654.901
2015/2/20,9547610.77
2015/2/21,9548176.768
2015/2/22,9554020.72
2015/2/23,9522349.034
2015/2/24,9533796.488
2015/2/25,9527956.196
2015/2/26,9528939.248
2015/2/27,9545614.388
2015/2/28,9556787.945
2015/3/1,9622270.535
2015/3/2,9652913.639
2015/3/3,10083607.38
2015/3/4,9921940.302
2015/3/5,9891737.147
2015/3/6,9898051.851
2015/3/7,9905476.495
2015/3/8,9905899.583
2015/3/9,9916895.678
2015/3/10,9924923.165
2015/3/11,9923948.015
2015/3/12,9922359.425
2015/3/13,9904472.09
2015/3/14,9895471.327
2015/3/15,9898590.153
2015/3/16,9899444.965
2015/3/17,9895558.21
2015/3/18,9889570.794
2015/3/19,9881484.668
2015/3/20,9880618.948
2015/3/21,9896869.655
2015/3/22,9806454.877
2015/3/23,9815438.768
2015/3/24,9892547.056
2015/3/25,9969890.842
2015/3/26,9977924.14
2015/3/27,9973463.078
2015/3/28,9895743.384
2015/3/29,9996379.613
2015/3/30,9999782.26
2015/3/31,10114720
2015/4/1,10093653.82
2015/4/2,9991217.584
2015/4/3,9927436.03
2015/4/4,9911126.433
2015/4/5,9920909.523
2015/4/6,9914562.138
2015/4/7,9927430.561
2015/4/8,9930257.802
2015/4/9,9905372.731
2015/4/10,9931138.094
2015/4/11,9922867.154
2015/4/12,9912248.24
2015/4/13,9967427.793
2015/4/14,10031277.76
2015/4/15,9976669.695
2015/4/16,9938207.885
2015/4/17,9972373.848
2015/4/18,9968486.697
2015/4/19,9972758.894
2015/4/20,9948589.53
2015/4/21,9830154.731
2015/4/22,9819534.996
2015/4/23,9822725.118
2015/4/24,9811511.819
2015/4/25,9797922.674
2015/4/26,9827065.718
2015/4/27,9778347.663
2015/4/28,9789125.811
2015/4/29,9744290.013
2015/4/30,9729726.633
2015/5/1,9659535.483
2015/5/2,9669793.504
2015/5/3,9691964.909
2015/5/4,9679178.343
2015/5/5,9635298.143
2015/5/6,9614537.373
2015/5/7,9618557.327
2015/5/8,9655438.365
2015/5/9,9625297.391
2015/5/10,9641309.235
2015/5/11,9642636.641
2015/5/12,9689262.32
2015/5/13,9778048.157
2015/5/14,9795565.056
2015/5/15,9807520.783
2015/5/16,9836261.369
2015/5/17,9919113.76
2015/5/18,10310888.56
2015/5/19,10020642.03
2015/5/20,10018375.29
2015/5/21,10017492.29
2015/5/22,10015001.33
2015/5/23,10015393.7
2015/5/24,10018004.23
2015/5/25,10012222.91
2015/5/26,10011118.55
2015/5/27,10010487.53
2015/5/28,10002044.46
2015/5/29,10022946.17
2015/5/30,9994666.867
2015/5/31,10007465.93
2015/6/1,10021806.35
2015/6/2,10007967.44
2015/6/3,10003759.69
2015/6/4,10008422.7
2015/6/5,9997897.786
2015/6/6,9988282.315
2015/6/7,10011664.34
2015/6/8,9938269.741
2015/6/9,9939293.777
2015/6/10,9939100.938
2015/6/11,9937943.312
2015/6/12,9935326.048
2015/6/13,9937087.925
2015/6/14,9938448.156
2015/6/15,9948240.583
2015/6/16,10179437.89
2015/6/17,10160440.69
2015/6/18,10206762.33
2015/6/19,10259595.14
2015/6/20,10203567.27
2015/6/21,10150268.95
2015/6/22,10174168.48
2015/6/23,10166414.47
2015/6/24,10150452.33
2015/6/25,10167164.51
2015/6/26,10190124.32
2015/6/27,10215308.16
2015/6/28,10205291.11
2015/6/29,10248546.52
2015/6/30,10230429.31
2015/7/1,10204633.04
2015/7/2,10187617.92
2015/7/3,10194399.76
2015/7/4,10213101.17
2015/7/5,10248802.02
2015/7/6,10316422.5
2015/7/7,10210576.91
2015/7/8,10251752.74
2015/7/9,10300452.83
2015/7/10,10404451.01
2015/7/11,10404406.31
2015/7/12,10596843.45
2015/7/13,10502978.46
2015/7/14,10494835.29
2015/7/15,10489848.85
2015/7/16,10497025.77
2015/7/17,10489982.61
2015/7/18,10492380.85
2015/7/19,10488798.29
2015/7/20,10494229.66
2015/7/21,10509819.97
2015/7/22,10511916.68
2015/7/23,10526721.03
2015/7/24,10504647.17
2015/7/25,10487355.87
2015/7/26,10498862.92
2015/7/27,10532106.61
2015/7/28,10505171.12
2015/7/29,10495643.24
2015/7/30,10501873.04
2015/7/31,10454298.96
2015/8/1,10449820.08
2015/8/2,10439924.83
2015/8/3,10437839.97
2015/8/4,10406064.78
2015/8/5,10406742.09
2015/8/6,10404905.91
2015/8/7,10375299.92
2015/8/8,10460055.9
2015/8/9,10462472.29
2015/8/10,10403221.2
2015/8/11,10285331.74
2015/8/12,10289844.67
2015/8/13,10292850.84
2015/8/14,10264425.11
2015/8/15,10278893.97
2015/8/16,10299631.5
2015/8/17,10302069.92
2015/8/18,10802301.72
2015/8/19,10750058.94
2015/8/20,10745724.18
2015/8/21,10746270.73
2015/8/22,10746151.16
2015/8/23,10745878.79
2015/8/24,10748965.26
2015/8/25,10745162.47
2015/8/26,10743882.16
2015/8/27,10743471.56
2015/8/28,10742751.77
2015/8/29,10743401.71
2015/8/30,10743738.19
2015/8/31,10743268.81
2015/9/1,10743542.68
2015/9/2,10742242.99
2015/9/3,10742168.47
2015/9/4,10742261.09
2015/9/5,10746225.58
2015/9/6,10746733.2
2015/9/7,10702255.4
2015/9/8,10809887.67
2015/9/9,10580323.39
2015/9/10,10586888.43
2015/9/11,10597122.64
2015/9/12,10527361.3
2015/9/13,10569397.01
2015/9/14,10529741.98
2015/9/15,10452517.74
2015/9/16,10542525.46
2015/9/17,10372459.69
2015/9/18,10354820.03
2015/9/19,10363865.59
2015/9/20,10381925.6
2015/9/21,10401894.81
2015/9/22,10369162.44
2015/9/23,10550619.16
2015/9/24,10525817.05
2015/9/25,10484977.63
2015/9/26,10556477.89
2015/9/27,10549447.74
2015/9/28,10651800.89
2015/9/29,10898725.37
2015/9/30,10768160.05
2015/10/1,10799289.34
2015/10/2,10743670.94
2015/10/3,10778721.96
2015/10/4,10789943.72
2015/10/5,10809679.32
2015/10/6,10780948.31
2015/10/7,10780901.03
2015/10/8,10784412.9
2015/10/9,10780962.05
2015/10/10,10785409.7
2015/10/11,10782904.15
2015/10/12,10774336.02
2015/10/13,10790913.61
2015/10/14,10801567.41
2015/10/15,10810319.87
2015/10/16,10882602.08
2015/10/17,11041656.81
2015/10/18,10933995.69
2015/10/19,10933989.78
2015/10/20,10992022.27
2015/10/21,10970320.53
2015/10/22,10993358.32
2015/10/23,11023586.45
2015/10/24,11051274.25
2015/10/25,11064474.4
2015/10/26,11062733.13
2015/10/27,11098968.07
2015/10/28,11147561.96
2015/10/29,11204323.32
2015/10/30,11281031.36
2015/10/31,11217076.33
2015/11/1,11268957.42
2015/11/2,11380760.14
2015/11/3,11513535.25
2015/11/4,11467258.29
2015/11/5,11420412.09
2015/11/6,11389533.18
2015/11/7,11399468.94
2015/11/8,11390793.47
2015/11/9,11397280.64
2015/11/10,11362569.93
2015/11/11,11357989.46
2015/11/12,11343507.72
2015/11/13,11343743.67
2015/11/14,11344048.3
2015/11/15,11344885.44
2015/11/16,11342019.59
2015/11/17,11344236.14
2015/11/18,11342345.52
2015/11/19,11344732.55
2015/11/20,11343773.7
2015/11/21,11335086.97
2015/11/22,11335268.47
2015/11/23,11335212.52
2015/11/24,11337085.73
2015/11/25,11331270.13
2015/11/26,11323220.34
2015/11/27,11335816.9
2015/11/28,11307768.55
2015/11/29,11466706.91
2015/11/30,11499794.65
2015/12/1,11399177.07
2015/12/2,11318465.19
2015/12/3,11287398.32
2015/12/4,11324766.18
2015/12/5,11584803.02
2015/12/6,11630907.11
2015/12/7,11788101.92
2015/12/8,12375935.5
2015/12/9,12450650.46
2015/12/10,12414284.19
2015/12/11,12508187.21
2015/12/12,12470182.15
2015/12/13,12475938.74
2015/12/14,12454821.29
2015/12/15,12440393.75
2015/12/16,12443979.81
2015/12/17,12440676.25
2015/12/18,12440617.46
2015/12/19,12439551.06
2015/12/20,12434908.67
2015/12/21,12433317.22
2015/12/22,12433144.77
2015/12/23,12432319.88
2015/12/24,12433318.04
2015/12/25,12432646.79
2015/12/26,12421641.97
2015/12/27,12418999.7
2015/12/28,12420872.03
2015/12/29,12392345.45
2015/12/30,12397163.43
2015/12/31,12399910.78
2016/1/1,12395702.53
2016/1/2,12372556.34
2016/1/3,12386410.25
2016/1/4,12384252.07
2016/1/5,12380355.47
2016/1/6,12379601.86
2016/1/7,12325831.59
2016/1/8,12291150.49
2016/1/9,12244947.59
2016/1/10,12244216.26
2016/1/11,12253619.94
2016/1/12,12165050.83
2016/1/13,12124407.11
2016/1/14,12176682.56
2016/1/15,12745070.48
2016/1/16,12498313.9
2016/1/17,12433570.39
2016/1/18,12427242.39
2016/1/19,12446122.22
2016/1/20,12376828.81
2016/1/21,12390533.78
2016/1/22,12416344.37
2016/1/23,12424833.13
2016/1/24,12414081.42
2016/1/25,12420787.01
2016/1/26,12379450.53
2016/1/27,12374600.35
2016/1/28,12328381.27
2016/1/29,12363738.65
2016/1/30,12341675.62
2016/1/31,12338459.28
2016/2/1,12347931.86
2016/2/2,12355500.13
2016/2/3,12363567.52
2016/2/4,12357036.39
2016/2/5,12367143.12
2016/2/6,12393349.93
2016/2/7,12379735.75
2016/2/8,12370383.41
2016/2/9,12375222.34
2016/2/10,12374008.82
2016/2/11,12370011.69
2016/2/12,12377022.74
2016/2/13,12395955.73
2016/2/14,12465335.08
2016/2/15,12396328.47
2016/2/16,12422387.57
2016/2/17,12453702.01
2016/2/18,12491093.43
2016/2/19,12481160.35
2016/2/20,12627216.66
2016/2/21,12638904.76
2016/2/22,12638370.33
2016/2/23,12505799.53
2016/2/24,12517361.76
2016/2/25,12514595.64
2016/2/26,12527807.28
2016/2/27,12520234.41
2016/2/28,12524904.99
2016/2/29,12515516.76
2016/3/1,12505565.22
2016/3/2,12494808.15
2016/3/3,12484967.7
2016/3/4,12508195.59
2016/3/5,12499296.96
2016/3/6,12439832.09
2016/3/7,12393766.59
2016/3/8,12400754.08
2016/3/9,12348051.41
2016/3/10,12352631.75
2016/3/11,12456566.24
2016/3/12,12359528.14
2016/3/13,12359821.39
2016/3/14,12342674.98
2016/3/15,12234204.1
2016/3/16,12255876.55
2016/3/17,12535919.7
2016/3/18,12532956.07
2016/3/19,12557766.03
2016/3/20,12561877.24
2016/3/21,12444845.46
2016/3/22,12455174.18
2016/3/23,12447063.74
2016/3/24,12437279.18
2016/3/25,12441270.16
2016/3/26,12437774.89
2016/3/27,12449075.89
2016/3/28,12462081.81
2016/3/29,12415464.53
2016/3/30,12439957.87
2016/3/31,12404761.29
2016/4/1,12403710.18
2016/4/2,12398517.3
2016/4/3,12403286.51
2016/4/4,12400882.28
2016/4/5,12402802.98
2016/4/6,12398162.95
2016/4/7,12452646.45
2016/4/8,12476452.61
2016/4/9,12631050.42
2016/4/10,12712866.24
2016/4/11,12644981.67
2016/4/12,12756855.38
2016/4/13,12710221.76
2016/4/14,12638835.99
2016/4/15,12663152.38
2016/4/16,12656401.07
2016/4/17,12623814.99
2016/4/18,12635687.33
2016/4/19,12677062.41
2016/4/20,12727231.97
2016/4/21,12773871.82
2016/4/22,12753825.24
2016/4/23,12784169.72
2016/4/24,12846166.67
2016/4/25,12843925.71
2016/4/26,12871154.58
2016/4/27,12711552.26
2016/4/28,12719148.53
2016/4/29,12716585.36
2016/4/30,12700609.48
2016/5/1,12697975.61
2016/5/2,12710231.3
2016/5/3,12691801.42
2016/5/4,12700683.76
2016/5/5,12708846.86
2016/5/6,12692229.06
2016/5/7,12691338.41
2016/5/8,12696114.3
2016/5/9,12695537.98
2016/5/10,12692192.01
2016/5/11,12691039.02
2016/5/12,12692504.4
2016/5/13,12705511.41
2016/5/14,12693716.72
2016/5/15,12690044.14
2016/5/16,12732101.83
2016/5/17,12828187.19
2016/5/18,12881599.57
2016/5/19,12991378.99
2016/5/20,12859038.58
2016/5/21,12882999.24
2016/5/22,12906939.67
2016/5/23,12835452.25
2016/5/24,12829892.95
2016/5/25,12881972.56
2016/5/26,12806742.22
2016/5/27,12909830.19
2016/5/28,13183314.92
2016/5/29,13086776.42
2016/5/30,13096517.25
2016/5/31,13101593.79
2016/6/1,13102355.68
2016/6/2,13105328.8
2016/6/3,13158576.04
2016/6/4,13161020.11
2016/6/5,13163270.92
2016/6/6,13178428.04
2016/6/7,13166740
2016/6/8,13173491.98
2016/6/9,13165017.74
2016/6/10,13166515.48
2016/6/11,13202812.21
2016/6/12,13259460.45
2016/6/13,13317042.87
2016/6/14,13376495.68
2016/6/15,13303965.07
2016/6/16,13483142.36
2016/6/17,13333072.49
2016/6/18,13327849.77
2016/6/19,13326058.3
2016/6/20,13314360
2016/6/21,13264236.15
2016/6/22,13270948.89
2016/6/23,13259941.75
2016/6/24,13252946.27
2016/6/25,13251961.64
2016/6/26,13253591.71
2016/6/27,13253155.34
2016/6/28,13253524.96
2016/6/29,13252194.78
2016/6/30,13247747.14
2016/7/1,13247644.09
2016/7/2,13249176.8
2016/7/3,13249500.46
2016/7/4,13252550.12
2016/7/5,13261883.15
2016/7/6,13260297.92
2016/7/7,13278790
2016/7/8,13169441.16
2016/7/9,13167315.93
2016/7/10,13167191.83
2016/7/11,13179527.89
2016/7/12,13169223.21
2016/7/13,13167761.88
2016/7/14,13123381.35
2016/7/15,13118639.46
2016/7/16,13105996.96
2016/7/17,13057528.34
2016/7/18,13023792.58
2016/7/19,12997007.02
2016/7/20,13013552.53
2016/7/21,13008410.37
2016/7/22,13249993
2016/7/23,13202872.5
2016/7/24,13100260.69
2016/7/25,13178026.33
2016/7/26,13185363
2016/7/27,13165492.67
2016/7/28,13162046.58
2016/7/29,13159263.53
2016/7/30,13161842.45
2016/7/31,13212076.74
2016/8/1,13286934.59
2016/8/2,13127907.27
2016/8/3,13137029.96
2016/8/4,13124353.48
2016/8/5,13125437.9
2016/8/6,13140844.27
2016/8/7,13121569.12
2016/8/8,13118743.51
2016/8/9,13116326.79
2016/8/10,13104987.52
2016/8/11,13092364.38
2016/8/12,13105278.29
2016/8/13,13106135.88
2016/8/14,13149161.33
2016/8/15,13163642.17
2016/8/16,13122588.99
2016/8/17,13130382.14
2016/8/18,13129289.65
2016/8/19,13123002.13
2016/8/20,13093406.07
2016/8/21,13091812.15
2016/8/22,13100359.55
2016/8/23,13059927.36
2016/8/24,13045328.11
2016/8/25,13043649.09
2016/8/26,13030836.73
2016/8/27,13052461.4
2016/8/28,13022034.97
2016/8/29,12894167.08
2016/8/30,12772929.88
2016/8/31,12822475.87
2016/9/1,12905505.91
2016/9/2,12830483.43
2016/9/3,12845056.88
2016/9/4,12809672.01
2016/9/5,12782846.59
2016/9/6,12795905.33
